success,Crop,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,5991,"13°19'07.3"" N","107°50'39.8"" E","13°18'11.1"" N","107°51'30.6"" E",83.0770263671875,0.5514952210606261,0.5123933290439173,0.10473064403745673,0.746031746031746,0.10239651416122005,0.18007662835249041,0.4539637413263903
True,5992,"13°19'08.4"" N","107°52'10.2"" E","13°18'53.9"" N","107°53'22.0"" E",85.13729858398438,0.6074876296591716,0.26829932538294504,0.23102814840426816,0.3490566037735849,0.23319327731092437,0.2795969773299748,0.352982083008457
True,5993,"13°19'09.6"" N","107°53'40.7"" E","13°18'08.4"" N","107°54'37.5"" E",83.90380859375,0.5597302504816956,0.35943527943867754,0.1356502577933267,1.0,0.11753371868978806,0.2103448275862069,0.5825802504816958
True,5994,"13°19'10.7"" N","107°55'11.2"" E","13°18'04.7"" N","107°55'25.1"" E",83.90380859375,0.5738653216407559,0.4060412124224178,0.14327723016586083,0.9104477611940298,0.145933014354067,0.25154639175257737,0.5491040230312945
True,5995,"13°19'11.8"" N","107°56'41.7"" E","13°18'00.9"" N","107°58'07.4"" E",84.31588745117188,0.5515605095541402,0.3957792447526314,0.1850377959402645,0.9886363636363636,0.15,0.26047904191616766,0.23271562413753688
True,5996,"13°19'12.8"" N","107°58'12.1"" E","13°18'04.0"" N","107°58'21.1"" E",83.0770263671875,0.5459558823529411,0.4077906049394565,0.14043637201853107,0.0,0.0,0.0,0.5706558823529412
True,5997,"13°19'13.9"" N","107°59'42.6"" E","13°18'59.4"" N","107°59'57.6"" E",85.54669189453125,0.6172649167266944,0.26354969440089215,0.2502557007604428,0.6079295154185022,0.24083769633507854,0.34500000000000003,0.4805647422329933
True,5998,"13°19'15.0"" N","108°01'13.1"" E","13°19'15.0"" N","108°01'24.1"" E",83.90380859375,0.5512572533849129,0.3305730249025648,0.1398864012374723,1.0,0.10058027079303675,0.18277680140597538,0.574457253384913
True,5999,"13°19'16.0"" N","108°02'43.6"" E","13°18'24.6"" N","108°03'18.5"" E",79.31036376953125,0.5620608899297423,0.2188474446782314,0.16378067095676474,1.0,0.12177985948477751,0.21711899791231734,0.5807608899297425
True,6000,"13°19'17.1"" N","108°04'14.1"" E","13°18'05.3"" N","108°04'15.1"" E",75.46441650390625,0.6599753415080722,0.06963691691113039,0.3624972784535452,0.5980392156862745,0.41924398625429554,0.49292929292929294,0.455278788859986
